tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
2000 ; 2 ; 100 ; custom ; 1 ; 148,88627314567566 ; - 30.346029375155588
2000 ; 2 ; 100 ; custom ; 1 ; 139,15964317321777 ; - 29.787765293383274
2000 ; 2 ; 100 ; custom ; 1 ; 165,15968012809753 ; - 31.65503489531406
2000 ; 2 ; 100 ; custom ; 1 ; 162,46393704414368 ; - 30.903644533200197
2000 ; 2 ; 100 ; custom ; 1 ; 182,12951803207397 ; - 31.956197112991536
2000 ; 5 ; 1 ; custom ; 1 ; 0,1886122226715088 ; - 0.8166811468288444
2000 ; 5 ; 1 ; custom ; 1 ; 0,17482876777648926 ; - 0.7471763683753259
2000 ; 5 ; 1 ; custom ; 1 ; 0,1977999210357666 ; - 0.8169650617069355
2000 ; 5 ; 1 ; custom ; 1 ; 0,2092599868774414 ; - 0.7458803122289679
2000 ; 5 ; 1 ; custom ; 1 ; 0,18763113021850586 ; - 0.746657405799618
2000 ; 5 ; 1 ; custom ; 1 ; 0,19643616676330566 ; - 0.676730869338886
2000 ; 5 ; 1 ; custom ; 1 ; 0,17791175842285156 ; - 0.6769658045478215
2000 ; 5 ; 1 ; custom ; 1 ; 0,17745399475097656 ; - 0.781114389862871
2000 ; 5 ; 1 ; custom ; 1 ; 0,1916947364807129 ; - 0.7463981947578546
2000 ; 5 ; 1 ; custom ; 1 ; 0,19738388061523438 ; - 0.7983339118361681
2000 ; 5 ; 1 ; custom ; 1 ; 0,1789250373840332 ; - 0.7977800901838363
2000 ; 5 ; 1 ; custom ; 1 ; 0,1710798740386963 ; - 0.746657405799618
2000 ; 5 ; 1 ; custom ; 1 ; 0,15881705284118652 ; - 0.3294607248135946
2000 ; 5 ; 1 ; custom ; 1 ; 0,19642972946166992 ; - 0.79750346740638
2000 ; 5 ; 1 ; custom ; 1 ; 0,18747901916503906 ; - 0.7980569049271339
2000 ; 5 ; 1 ; custom ; 1 ; 0,1871020793914795 ; - 0.8166811468288444
2000 ; 5 ; 1 ; custom ; 1 ; 0,1866779327392578 ; - 0.7463981947578546
2000 ; 5 ; 1 ; custom ; 1 ; 0,17270684242248535 ; - 0.746657405799618
2000 ; 5 ; 1 ; custom ; 1 ; 0,17998981475830078 ; - 0.7114350164844698
2000 ; 5 ; 1 ; custom ; 1 ; 0,19443392753601074 ; - 0.7644197359277276
2000 ; 5 ; 5 ; custom ; 1 ; 0,7940587997436523 ; - 2.8630921395106714
2000 ; 5 ; 5 ; custom ; 1 ; 0,668287992477417 ; - 2.36275191104934
2000 ; 5 ; 5 ; custom ; 1 ; 0,8646032810211182 ; - 2.808599167822469
2000 ; 5 ; 5 ; custom ; 1 ; 0,33118700981140137 ; - 1.5828839798225778
2000 ; 5 ; 5 ; custom ; 1 ; 0,6042220592498779 ; - 2.3239680887963927
2000 ; 5 ; 5 ; custom ; 1 ; 0,58225417137146 ; - 2.3417172593235036
2000 ; 5 ; 5 ; custom ; 1 ; 0,8597722053527832 ; - 2.6557889255337614
2000 ; 5 ; 5 ; custom ; 1 ; 0,9167618751525879 ; - 2.9713292788879233
2000 ; 5 ; 5 ; custom ; 1 ; 0,9165561199188232 ; - 2.8501911713590546
2000 ; 5 ; 5 ; custom ; 1 ; 0,6937079429626465 ; - 2.4
2000 ; 5 ; 5 ; custom ; 1 ; 0,9359951019287109 ; - 2.861106294433848
2000 ; 5 ; 5 ; custom ; 1 ; 0,9668827056884766 ; - 2.7768136063866713
2000 ; 5 ; 5 ; custom ; 1 ; 1,1122491359710693 ; - 2.915654286706005
2000 ; 5 ; 5 ; custom ; 1 ; 0,6644279956817627 ; - 2.5285763768617944
2000 ; 5 ; 5 ; custom ; 1 ; 0,7247011661529541 ; - 2.4271844660194173
2000 ; 5 ; 5 ; custom ; 1 ; 0,6934928894042969 ; - 2.5108225108225106
2000 ; 5 ; 5 ; custom ; 1 ; 0,956247091293335 ; - 2.8521739130434782
2000 ; 5 ; 5 ; custom ; 1 ; 0,8633739948272705 ; - 2.7551550857736964
2000 ; 5 ; 5 ; custom ; 1 ; 0,6733698844909668 ; - 2.3602915654286707
2000 ; 5 ; 5 ; custom ; 1 ; 0,9540519714355469 ; - 2.915654286706005
2000 ; 5 ; 10 ; custom ; 1 ; 2,9986860752105713 ; - 4.9288441513363415
2000 ; 5 ; 10 ; custom ; 1 ; 3,567436933517456 ; - 5.270481822925726
2000 ; 5 ; 10 ; custom ; 1 ; 3,1779770851135254 ; - 5.222974145410377
2000 ; 5 ; 10 ; custom ; 1 ; 3,4276530742645264 ; - 5.363652143725048
2000 ; 5 ; 10 ; custom ; 1 ; 3,843954086303711 ; - 5.422314911366007
2000 ; 5 ; 10 ; custom ; 1 ; 3,3935351371765137 ; - 4.83619344773791
2000 ; 5 ; 10 ; custom ; 1 ; 2,3537437915802 ; - 4.426314875889602
2000 ; 5 ; 10 ; custom ; 1 ; 2,946396827697754 ; - 4.771820232517785
2000 ; 5 ; 10 ; custom ; 1 ; 3,775913953781128 ; - 5.263157894736842
2000 ; 5 ; 10 ; custom ; 1 ; 3,7886481285095215 ; - 5.376344086021505
2000 ; 5 ; 10 ; custom ; 1 ; 3,7823991775512695 ; - 5.41290770298404
2000 ; 5 ; 10 ; custom ; 1 ; 3,3078441619873047 ; - 4.965277777777778
2000 ; 5 ; 10 ; custom ; 1 ; 3,540534019470215 ; - 5.277777777777778
2000 ; 5 ; 10 ; custom ; 1 ; 3,306535005569458 ; - 4.821366631980576
2000 ; 5 ; 10 ; custom ; 1 ; 3,5758368968963623 ; - 5.142460041695622
2000 ; 5 ; 10 ; custom ; 1 ; 2,9029669761657715 ; - 4.930555555555555
2000 ; 5 ; 10 ; custom ; 1 ; 2,825763702392578 ; - 4.9106368211001215
2000 ; 5 ; 10 ; custom ; 1 ; 3,3289542198181152 ; - 5.074730622175878
2000 ; 5 ; 10 ; custom ; 1 ; 2,9935197830200195 ; - 4.938485531103795
2000 ; 5 ; 10 ; custom ; 1 ; 3,606786012649536 ; - 5.113537874848327
2000 ; 5 ; 20 ; custom ; 1 ; 15,985261678695679 ; - 9.693081324778914
2000 ; 5 ; 20 ; custom ; 1 ; 13,484497785568237 ; - 9.005726184279021
2000 ; 5 ; 20 ; custom ; 1 ; 16,33285403251648 ; - 10.013908205841446
2000 ; 5 ; 20 ; custom ; 1 ; 15,659030199050903 ; - 9.956559513466551
2000 ; 5 ; 20 ; custom ; 1 ; 15,694337844848633 ; - 9.647140622284025
2000 ; 5 ; 20 ; custom ; 1 ; 14,612434148788452 ; - 9.772608922062142
2000 ; 5 ; 20 ; custom ; 1 ; 15,8261399269104 ; - 9.772608922062142
2000 ; 5 ; 20 ; custom ; 1 ; 18,284806966781616 ; - 10.308920513710518
2000 ; 5 ; 20 ; custom ; 1 ; 17,85248374938965 ; - 9.737892726957126
2000 ; 5 ; 20 ; custom ; 1 ; 16,426433086395264 ; - 10.055671537926235
2000 ; 5 ; 20 ; custom ; 1 ; 11,182512044906616 ; - 8.39986115931968
2000 ; 5 ; 20 ; custom ; 1 ; 11,166090965270996 ; - 8.528747611603265
2000 ; 5 ; 20 ; custom ; 1 ; 11,15109395980835 ; - 8.389786347055757
2000 ; 5 ; 20 ; custom ; 1 ; 14,071639776229858 ; - 9.340277777777779
2000 ; 5 ; 20 ; custom ; 1 ; 11,598820209503174 ; - 8.740225890529974
